ID du Bilan GES,Type de structure,Type de collectivité,Raison sociale / Nom de l'entité,Année de reporting,Date de publication,Mode de consolidation,Descriptif sommaire de l'activité,SIREN,Libellé,Région,Ville,Emissions publication P1 - tCO2e,Emissions publication P2 - tCO2e,Emissions publication P3 - tCO2e,Emissions publication P4 - tCO2e,Emissions publication P5 - tCO2e,Emissions publication P6 - tCO2e,Emissions publication P7 - tCO2e,Emissions publication P8 - tCO2e,Emissions publication P9 - tCO2e,Emissions publication P10 - tCO2e,Emissions publication P11 - tCO2e,Emissions publication P12 - tCO2e,Emissions publication P13 - tCO2e,Emissions publication P14 - tCO2e,Emissions publication P15 - tCO2e,Emissions publication P16 - tCO2e,Emissions publication P17 - tCO2e,Emissions publication P18 - tCO2e,Emissions publication P19 - tCO2e,Emissions publication P20 - tCO2e,Emissions publication P21 - tCO2e,Emissions publication P22 - tCO2e,Emissions publication P23 - tCO2e
3497,Entreprise,,BRED Banque Populaire,1/1/2018,4/10/2020,Opérationnel,"La BRED, fondée en 1919 par Louis-Alexandre Dagot à Vincennes, est la plus importante des banques populaires françaises, au sein du groupe BPCE. La BRED est une banque coopérative comptant 200 000 sociétaires en 2019.",552091795.0,Autres intermédiations monétaires,,Paris,326.0,213.0,0.0,166.0,,1309.00,173.00,592.00,14059.00,4761.00,82.00,5068.00,1266.00,,,663.00,,,,,,2998.0,
3499,Entreprise,,Aspen Notre Dame de Bondeville,1/1/2018,3/27/2019,Opérationnel,Production pharmaceutique de produits stériles injectables,793618828.0,Fabrication de préparations pharmaceutiques,,Notre Dame de Bondeville,2262.0,,227.5,31.0,,807.00,,,,,,,,,,,,,,,,,
3500,Etablissement public,,Université de Technologie de Troyes,1/1/2018,3/27/2019,Opérationnel,"L'université de technologie de Troyes  offre trois  axes : La recherche, la formation et le transfert de technologie ._x000D_
_x000D_
Elle forme plus de 3100 étudiants chaque année.",191010602.0,Enseignement supérieur,,TROYES,580.0,65.0,0.0,0.0,,192.00,295.00,,,,,,,,,,,,,,,,
3502,Etablissement public,,Centre Hospitalier Intercommunal du Pays de COGNAC,1/1/2018,3/28/2019,Financier,"Services d'hospitalisation : Urgences-SMUR, services de Médecine (Onco, gastro, diabéto, pneumo, cardio, médecine gériatrique, Hôpital de Jour, Hôpital de semaine) + Gynécologie Obstétrique + SSR, USLD Hébergement : Centre de gérontologie Clinique + Résidence Médico-Sociale GUY GAUTIER et Résidence Médico-Sociale de JARNAC",200018703.0,Activités hospitalières,,COGNAC,604.0,30.0,,35.0,,68.00,,129.00,,,,8.00,,20.00,,,,,,,,,
3503,Entreprise,,Caisse d'Epargne Hauts de France,1/1/2018,3/28/2019,Opérationnel,Banque et assurance,383000692.0,Autres intermédiations monétaires,,LILLE,892.0,0.0,42.0,0.0,0.0,1019.00,,,10313.00,4970.00,3.00,5986.00,1306.00,,,2522.00,,,,,,4715.0,
3504,Etablissement public,,Centre Hospitalier intercommunal Cavaillon Lauris,1/1/2018,4/16/2019,Opérationnel,"Le Centre hospitalier Intercommunal de Cavaillon est installé sur 2 sites distants d'environ 35 km, le site de Cavaillon, dans un environnement urbain et le site de Lauris, au c?ur d'une pinède en Luberon._x000D_
",268403441.0,Activités hospitalières,,CAVAILLON,1020.0,27.0,0.0,0.0,0.0,161.00,0.00,,,,,,,,,,,,,,,,
3507,Etablissement public,,Centre Hospitalier Charles PERRENS,1/1/2018,4/1/2019,Opérationnel,"Le Centre Hospitalier Charles Perrens est un établissement Public doté de la personnalité morale et sous tutelle de l'État représenté par l'Agence Régionale de Santé. Comme tous les hôpitaux publics, il est chargé d'une mission de service public en matière de diagnostic, de soins,d'enseignement et de recherche. Avec la sectorisation psychiatrique dont il a reçu toute la responsabilité administrative et financière, ses missions s'étendent de la prévention à la postcure des maladies mentales.",263305849.0,Activités hospitalières,,Bordeaux,549.0,177.0,2.0,86.0,,443.00,0.00,,,,,,,,,,,,,,,,
3516,Entreprise,,ARCELOR MITTAL CONSTRUCTION FRANCE,1/1/2015,4/12/2019,Opérationnel,"Décapage, laminage, galvanisation, laquage, profilage, pliage et Fabrication de panneaux sandwichs",485720627.0,Profilage à froid par formage ou pliage,,CONTRISSON,31800.0,591.0,0.0,177.0,0.0,6144.00,0.00,8463.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0
3517,Entreprise,,SA Bernard,1/1/2016,4/9/2019,Opérationnel,"Abattage, découpe et transformation de la viande de boucherie",869500223.0,Transformation et conservation de la viande de boucherie,,MOREAC,5735.0,385.0,,36.6,,oui,,oui,,,oui,,,,,,,,,,,,
3519,Etablissement public,,Centre hospitalier de Fougères,1/1/2017,4/3/2019,Opérationnel,,263500084.0,Activités chirurgicales,,FOUGERES,1162.6,0.9,0.4,,,163.30,,,,,,,,,,,,,,,,,
3523,Entreprise,,STMicroelectronics (site de Grenoble),1/1/2018,9/17/2019,Opérationnel,"Fort d'une expérience de 45 années dédiées aux développements de produits et à la maîtrise de systèmes applicatifs complexes, Grenoble est un site orienté R&D unique au sein de ST.",504941337.0,Recherche-développement en autres sciences physiques et naturelles,,Grenoble,644.4,325.7,26.4,132.4,,842.70,223.10,,,,,,,,,,,,,,,,
3525,Entreprise,,SCO,1/1/2018,4/5/2019,Opérationnel,"Les fabrications peuvent être regroupées en trois familles :_x000D_
- jambons et épaules ;_x000D_
- pâtes fines (saucisses et saucisses cocktails) et saucisson cuit;_x000D_
- aides culinaires",342048055.0,Préparation industrielle de produits à base de viande,,QUIMPER CEDEX 9,3083.2,14.3,0.0,0.0,0.0,1505.80,0.00,,,,,,,,,,,,,,,,
3527,Entreprise,,IDfr,1/1/2019,4/9/2019,Opérationnel,"La société a pour objectif de rendre des services informatiques en adéquation avec les besoins des clients, dans le respect des collaborateurs, des fournisseurs et de l'environnement. Nous avons également pour objectif de devenir neutre pour notre planète au niveau des GES et consommation électrique à l'horizon 2020.",423418714.0,Programmation informatique,,BESANCO,0.0,0.0,0.0,0.0,0.0,0.96,0.14,,5.13,1.39,,,0.63,,,,,,,,,4.83,
3533,Association,,ADAPEI du Doubs,1/1/2018,4/16/2019,Opérationnel,"L'ADAPEI accueille des personnes handicapées, les accompagne, et les emplois sur des sites de production. ",791747819.0,Action sociale sans hébergement n.c.a.,,besançon,4911.0,1212.0,0.0,162.0,0.0,492.00,0.00,,,,,,,,,,,,,,,,
3534,Entreprise,,Chronopost,1/1/2018,4/30/2019,Opérationnel,"Fondé en 1985, Chronopost assure une livraison expresse de colis jusqu'à 30 kg (en moins de 24h), aux clients particuliers comme aux professionnels, dans plus de 230 pays. Filiale de Geopost, holding Colis et Express du Groupe La Poste, Chronopost emploie plus de 3700 collaborateurs._x000D_
",383960135.0,Autres activités de poste et de courrier,,Gentilly,1683.56,3827.76,,,,1684.69,319.11,,,,,,,,,,,,,,,,
3536,Entreprise,,Egis,1/1/2018,2/17/2020,Opérationnel,,968502559.0,"Ingénierie, études techniques",,Lyon Cedex 06,5.0,,,,,74.00,72.00,1.00,11.00,623.00,,,3503.00,,,,,,,,,,172.0
3537,Etablissement public,,Centre Hospitalier de Toul St. Charles,1/1/2017,4/16/2019,Opérationnel,,265400184.0,Activités hospitalières,,TOUL,530.0,40.0,0.0,21.0,0.0,oui,,oui,,,,,,,,,,,,,,0.0,0.0
3538,Etablissement public,,Hôpitaux Drôme Nord,1/1/2017,6/7/2019,Opérationnel,Etablissement public de santé avec une activité de Médecine Chirurgie Obstétrique (MCO) et d'hébergement et de soins aux personnes âgées,262611098.0,Activités hospitalières,,Romans sur Isère,2702.9,107.1,0.0,122.5,0.0,627.00,0.00,,,,,,,,,,,,,,,,
3539,Entreprise,,COLAS MIDI MEDITERRANEE,1/1/2018,4/17/2019,Opérationnel,Construction routière,329368526.0,Construction de routes et autoroutes,,Aix-en-Provence,28904.0,40594.0,0.0,0.0,0.0,2025.00,0.00,,,,,,,,,,,,,,,,
3540,Entreprise,,HUBSAFE,1/1/2018,5/23/2019,Opérationnel,HUBSAFE est une entreprise de sûreté aéroportuaire. L'activité d'HUBSAFE s'opère sur 4 sites aéroportuaires du territoire français. ,411381346.0,Activités de sécurité privée,,Roissy Charles de Gaulle,,273.0,,,,16.80,19.70,,,,,,,,,,,,,,,,
3541,Etablissement public,,CCAS d'Echirolles,1/1/2017,6/7/2019,Financier,"Les missions de solidarité portées par le CCAS de la Ville d'Echirolles touchent à la petite enfance, les séniors, l'action sociale, la santé, l'emploi et le handicap.",263810368.0,Action sociale sans hébergement n.c.a.,,Echirolles,199.18,6.34,,,,34.45,,,,,,,,,,,,,,,,,
3543,Entreprise,,Framatome,1/1/2018,9/10/2019,Opérationnel,"Concepteur et fournisseur de chaudières et d'équipements nucléaires, de services associés et de combustible pour des niveaux de sûreté et de performance élevés.",379041395.0,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes,,Courbevoie,21378.0,4663.0,3879.0,952.0,,7635.00,616.00,,,,,,5511.00,,,,,,,,,,
3544,Entreprise,,MUTUELLE NATIONALE DES HOSPITALIERS,1/1/2017,5/7/2019,Opérationnel,"La Mutuelle Nationale des Hospitaliers et des professionnels de la santé et du social (MNH) a été fondée le 1er février 1960 et couvre leurs besoins de protection en santé. _x000D_
Il y a trois types de sites, tous d'activité tertiaire ; les agences et antennes, les centres de gestion et le siège, compartimenté en 3 bâtiments.",775606361.0,Autres assurances,,Amilly,134.04,627.98,0.0,79.35,0.0,201.05,68.79,,,,,,,,,,,,,,,,
3545,Entreprise,,BANQUE POPULAIRE AQUITAINE CENTRE ATLANTIQUE,1/1/2018,4/24/2019,Opérationnel,"Banque, assurance et autres intermédiaires bancaires",755501590.0,Autres intermédiations monétaires,,BORDEAUX,419.0,440.0,45.0,0.0,0.0,538.00,0.00,392.00,9321.00,2074.00,37.00,1633.00,580.00,,,2056.00,,,,,,3776.0,
3550,Entreprise,,Banque Populaire du Nord,1/1/2018,12/18/2019,Opérationnel,,457506566.0,Autres intermédiations monétaires,,Marcq en Baroeul,165.0,331.0,0.0,180.0,,466.00,0.00,287.00,5676.00,1158.00,29.00,515.00,330.00,,,792.00,,,,,,1453.0,
3552,Entreprise,,Tessi SA,1/1/2018,5/20/2019,Opérationnel,"traitement de flux dans les activités de traitement de documents, moyens de paiement, transaction devises & or et marketing promotionnel_x000D_
",71501571.0,Activités des sièges sociaux,,GRENOBLE,311.0,716.0,0.0,0.0,,377.00,0.00,385.00,0.00,3061.00,53.00,0.00,352.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,7067.0,0.0
3553,Etablissement public,,Centre Hospitalier de Valréas,1/1/2018,4/29/2019,Opérationnel,"Le Centre Hospitalier de Valréas est un Etablissement public  de santé (hôpital de Proximité). Sa capacité, à la fin des travaux (2020), sera de 64 lits d'hospitalisations sur le site de l'hôpital répartis comme suit :_x000D_
- 30 lits de Médecine_x000D_
- 30 lits de SSR_x000D_
- 4 lits d'UHCD_x000D_
",268400173.0,Activités hospitalières,,Valréas,501.56,12.46,0.0,53.58,,53.59,,132.12,,,,,,,,,,,,,,,
3558,Etablissement public,,Centre Hospitalier de la Côte Basque,1/1/2018,4/29/2019,Opérationnel,"Le Centre Hospitalier de la Côte Basque est situé à Bayonne, à 30 km de la frontière espagnole. Il est réparti sur quatre sites principaux et 15 autres implantations géographiques.",266405679.0,Activités hospitalières,,Bayonne Cedex,1511.71,195.17,,1836.89,,741.01,,743.48,,,,,,,,,,,,,,,
3559,Entreprise,,BOUYGUES TELECOM,1/1/2018,5/13/2019,Financier,"Opérateur de télécommunication français (Mobile, Fixe, TV, internet et cloud)",397480930.0,Télécommunications sans fil,,MEUDON,391.66,5796.69,0.0,6225.13,0.0,oui,,,oui,oui,oui,,oui,oui,,oui,oui,oui,oui,oui,,8360.58,1313.58
3560,Etablissement public,,Centre hospitalier d'Orange Louis Giorgi,1/1/2018,4/30/2019,Opérationnel,"Le Centre Hospitalier d'Orange est organisé en sept pôles (pôle activités transversales, pôle femme/enfant, pôle réadaptation gériatrique, pôle spécialités médicales, pôle soutien services cliniques, pôle urgences, pôle chirurgie) et a une capacité d'accueil de 266 lits en 2019.",268400264.0,Activités hospitalières,,Orange,602.96,46.33,,122.06,,123.12,,190.38,,,,,,,,,,,,,,,
3561,Entreprise,,M+ MATERIAUX,1/1/2018,11/19/2019,Opérationnel,Négoce Matériaux de Construction,480211671.0,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction,,Claira,30.0,4055.0,0.0,52.0,0.0,162.00,0.00,1206.00,909.00,1220.00,1518.00,8465.00,18.00,0.00,0.00,868.00,0.00,0.00,1.00,0.00,0.0,887.0,0.0
3564,Etablissement public,,Groupe Hospitalier Seclin Carvin,1/1/2018,5/13/2019,Opérationnel,Hôpital,265906982.0,Activités hospitalières,,SECLIN,3435.0,41.0,361.0,81.0,0.0,618.00,91.00,,,,,,,,,,,,,,,,
3565,Entreprise,,DORAS,1/1/2018,11/19/2019,Opérationnel,Négoce de matériaux de construction et location de matériels et outillage ,15851793.0,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction,,chenove,615.0,3906.0,0.0,0.0,0.0,282.00,0.00,1366.00,942.00,2156.00,847.00,29438.00,0.00,0.00,0.00,2014.00,0.00,0.00,92.00,0.00,0.0,1130.0,0.0
3566,Entreprise,,SAMSE,1/1/2018,11/19/2019,Opérationnel,Négoce de matériaux de construction ,56502248.0,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction,,Grenoble,772.0,1036.0,0.0,235.0,0.0,570.00,0.00,628.00,2233.00,4790.00,660.00,16689.00,221.00,0.00,0.00,50055.00,0.00,0.00,1.00,0.00,0.0,2343.0,0.0
3567,Collectivité territoriale (dont EPCI),Communauté d'agglomération,Lorient Agglomération,1/1/2017,5/10/2019,,,,,Bretagne,,1151.5,12840.0,0.0,6409.1,0.0,2087.20,0.00,0.00,0.00,0.00,0.00,0.00,109.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0
3568,Collectivité territoriale (dont EPCI),Communauté d'agglomération,Communauté d'Agglomération de Châlons-en-Champagne,1/1/2017,5/3/2019,,,,,Grand Est,,0.0,3147.0,,,,149.00,,844.00,123.00,2273.00,10537.00,,,,,,,,,,,,
3569,Entreprise,,LA BOITE A OUTILS,1/1/2018,11/19/2019,Opérationnel,Commerce de détail du bricolage ,779463223.0,"Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m² et plus)",,Grenoble,772.0,1036.0,0.0,235.0,0.0,570.00,0.00,628.00,2233.00,4790.00,660.00,16689.00,221.00,0.00,0.00,50055.00,0.00,0.00,1.00,0.00,0.0,2343.0,0.0
3572,Etablissement public,,Centre Hospitalier de Mauriac,1/1/2018,5/6/2019,Opérationnel,"Centre Hospitalier: établissement public de 176 lits. Un service d'Urgence H24 avec un SMUR; 6 lits UHCD, 40 lits de Médecine, 18 lits de SSR, 42 lits USLD et 70 lits EHPAD._x000D_
1 service SSIAD de 55 places et 1 IFAS de 23 places. 1 service de consultations externes avec différentes spécialités et 1 Centre Périnatal de Proximité.",261500052.0,Activités hospitalières,,MAURIAC,341.0,19.0,0.0,35.0,,63.00,0.00,,,,,,,,,,,,,,,,
3573,Etablissement public,,CHU de Montpellier,1/1/2018,5/6/2019,Opérationnel,Centre Hospitalier Universitaire de Montpellier ,263400160.0,Activités hospitalières,,MONTPELLIER,2577.0,735.0,0.0,4924.0,0.0,4481.00,11094.00,858.00,,,,,,,,,,,,,,,
3576,Entreprise,,CERP RHIN RHONE MEDITERRANE,1/1/2018,6/3/2019,Opérationnel,Grossiste-Répartiteur : achat et stockage de médicament et autre produit en vue de leur distribution en gros aux pharmacies d'officines ainsi qu'aux autres ayants droits autorisés par la Code de la santé publique.,535420533.0,Commerce de gros (commerce interentreprises) de produits pharmaceutiques,,BELFORT,1404.0,6148.0,0.0,0.0,0.0,501.00,0.00,,,,,,,,,,,,,,,,
3577,Association,,Hôpitaux Privés de Metz,1/1/2018,5/10/2019,Opérationnel,Hôpitaux Privés de Metz ( Association à but non lucratif) : Etablissements de soins et EHPAD. ,499198059.0,Activités hospitalières,,Vantoux,66.21,53.92,0.0,326.31,0.0,494.50,854.50,,,,,,,,,,,,,,,,
3580,Entreprise,,ACOME,1/1/2018,12/10/2019,Opérationnel,"La société ACOME fabricant de câbles, de fibre optique et de tubes de synthèse",562123513.0,Fabrication d'autres fils et câbles électroniques ou électriques,,PARIS,2400.0,282.0,894.0,195.0,,2177.00,,,,,,,,,,,,,,,,,
3587,Entreprise,,OI France SAS,1/1/2017,5/13/2019,Opérationnel,"La société O-I FRANCE fait partie du groupe O-I, leader mondial du marché des articles en verre. Elle créée des conteneurs en verre recyclables pour de grandes marques internationales de produits alimentaires et de boissons._x000D_
En France, la société est composée :_x000D_
- du siège social à Villeurbanne (69),_x000D_
- de 9 verreries réparties sur le territoire, qui fabriquent les articles en verre,_x000D_
- de 2 unités de décor, qui permettent le décor des articles par sérigraphie, satinage, etc._x000D_
La fabrication de",339030702.0,Fabrication de verre creux,,VILLEURBANNE,410187.0,1716.0,81034.0,117.0,0.0,30892.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0
3589,Entreprise,,SEW USOCOME,1/1/2018,5/17/2019,Opérationnel,fabrication de moteurs électriques et motoréducteurs.,421863259.0,"Fabrication de moteurs, génératrices et transformateurs électriques",,Haguenau,1793.0,,,,,1251.00,0.00,,201094.00,10557.00,298.00,702.00,108.00,,,162.00,1058.00,3559441.00,,,,782.0,
3590,Entreprise,,BOULANGERIE NEUHAUSER,1/1/2017,5/14/2019,Opérationnel,BOULANGERIE NEUHAUSER est une entité de la division NEUHAUSER du GROUPE SOUFFLET. Cette entité est spécialisée dans la boulangerie industrielle (surgelée).,638502963.0,Fabrication industrielle de pain et de pâtisserie fraîche,,FOLSCHVILLER,6507.0,428.0,26.0,69.0,0.0,5047.00,0.00,,,,,,,,,,,,,,,,
3591,Entreprise,,Initial,1/1/2017,6/3/2019,Opérationnel,Location-entretien de linge,343234142.0,Blanchisserie-teinturerie de gros,,BOULOGNE-BILLANCOURT,15346.0,7495.0,0.0,0.0,30.0,484.00,0.00,,,,,,,,,,,,,,,,
3592,Entreprise,,POMME DE PAIN,1/1/2017,5/14/2019,Opérationnel,"POMME DE PAIN est une division du GROUPE SOUFFLET, spécialisée dans la restauration rapide.",582150041.0,Restauration de type rapide,,PARIS,0.0,36.0,0.0,9.0,0.0,344.00,0.00,,,,,,,,,,,,,,,,
3593,Entreprise,,SOUFFLET AGRICULTURE,1/1/2017,5/14/2019,Opérationnel,"SOUFFLET AGRICULTURE est une entité de la division AGRICULTURE du GROUPE SOUFFLET, spécialisée dans le négoce de produits agricoles (semences).",706980182.0,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail",,NOGENT SUR SEINE,6359.0,1892.0,0.0,8.0,0.0,2507.00,0.00,,,,,,,,,,,,,,,,
3594,Etablissement public,,MAISON DEPARTEMENTALE ENFANCE & FAMILLE DE HAUTE SAVOIE,1/1/2018,5/14/2019,Opérationnel,"Les Foyers de l'enfance ont pour mission : _x000D_
- L'accueil des enfants et adolescents de tous âges confiés à l'Aide Sociale à l'Enfance, sur décision judiciaire ou par la famille, pour une durée d'hébergement variable mais généralement brève. _x000D_
- L'observation et l'orientation : un bilan concernant l'enfant et sa situation familiale doit être réalisé afin d'évaluer ses besoins et de proposer à l'inspecteur de l'enfance ou au juge des enfants une réponse en termes de protection et d'éducation adapt",267400232.0,Hébergement social pour enfants en difficultés,,TANINGES,175.9,377.2,0.0,7.9,0.0,33.20,0.00,138.20,,90.10,,,,,,,,,,,,,
3595,Entreprise,,PROENGIN,1/1/2019,5/14/2019,Opérationnel,Fabrication d'instrumentation scientifique et technique ,877220095.0,Fabrication d'instrumentation scientifique et technique,,St Cyr l'Ecole,7.75,2.19,,43.78,,13.66,,3.37,18.14,,0.01,41.30,260.53,,,,,,0.14,,,75.98,
3596,Etablissement public,,Centre Hospitalier de Saint Martin Louis Constant Fleming,1/1/2018,5/14/2019,Financier,Activités hospitalières et autres activités associées. ,269710364.0,Activités hospitalières,,SAINT MARTIN,18.0,23.0,17.0,17.0,0.0,0.00,11.00,11.00,,1821.00,1821.00,,461.00,462.00,,,,,,,,,
3597,Entreprise,,Crédit Coopératif,1/1/2018,12/24/2019,Opérationnel,"Le Crédit Coopératif est la banque de l'économie sociale et solidaire. Au travers de ses différentes filiales, Le Crédit Coopératif se positionne également sur des activités de gestion de fonds via Ecofi Investissements.",349974931.0,Autres intermédiations monétaires,,Nanterre,58.8,304.78,307.72,162.08,,365.54,472.36,222.46,11743.34,2255.96,4.90,638.96,731.08,,,726.18,,,,,,633.08,
3598,Collectivité territoriale (dont EPCI),Métropole,Métropole Nice Côte d'Azur,1/1/2015,5/22/2019,,,,,Provence-Alpes-Côte d'Azur,,1575.79,23942.17,0.0,0.0,0.0,8916.52,0.00,9841.56,14277.14,18802.93,116489.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,3053.55,0.0
3600,Entreprise,,TRANSPORTS RENE MADRIAS,1/1/2018,6/28/2019,Opérationnel,TRANSPORTS SOUS TEMPERATURE DIRIGEE DE PRODUITS ALIMENTAIRES ,676920234.0,Transports routiers de fret interurbains,,USSAC,10495.0,33319.0,,5679.0,,572.00,,,,,,,,,,,,,,,,,
3601,Etablissement public,,Transports de l'Ain,1/1/2018,8/19/2019,Opérationnel,"Transport routier de voyageurs, par autocar, autobus et véhicules légers.",757200464.0,Transports routiers réguliers de voyageurs,,BOURG-EN-BRESSE,130.16,8686.85,,1.46,,20.51,,,,775.72,3.33,,111.68,,,,,,,,,494.34,
3606,Etablissement public,,CENTRE HOSPITALIER GENERAL DE ROANNE,1/1/2015,6/7/2019,Opérationnel,,264200270.0,Activités hospitalières,,Roanne,9696.0,0.0,0.0,0.0,0.0,1004.00,0.00,0.00,15127.00,1549.00,391.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0
3608,Entreprise,,V.MANE FILS,1/1/2018,10/17/2019,Opérationnel,"Fabrication de matières premières aromatiques, de compositions parfumantes et d'arômes",415550284.0,Fabrication d'autres produits chimiques organiques de base,,LE BAR SUR LOUP,8777.96,40.93,199.96,713.56,0.0,1219.40,0.00,,,,,,,,,,,,,,,,
3611,Entreprise,,Konica Minolta,1/1/2018,5/28/2019,Opérationnel,,302695614.0,Réparation d'ordinateurs et d'équipements périphériques,,Carrières sur Seine,48.0,3370.0,0.0,163.0,0.0,57.00,3.00,917.00,2303.00,2518.00,89.00,2519.00,154.00,0.00,0.00,92.00,0.00,430.00,128.00,0.00,598.0,764.0,442.0
3612,Etablissement public,,Mines Saint-Etienne,1/1/2017,5/23/2019,Opérationnel,Enseignement et recherche,180092025.0,Enseignement supérieur,,Saint-Etienne,979.84,32.04,68.28,0.0,0.0,347.24,22.37,163.04,,,5.38,,1034.53,,,826.57,,,,,,,
3615,Etablissement public,,Centre hospitalier,1/1/2017,5/28/2019,Opérationnel,"Le centre hospitalier comprend 304 places réparties de la façon suivante :_x000D_
Médecine : 41 / Surveillance continue : 4 / Chirurgie : 40 + 2 lits chirurgie ambulatoire / Gynéco-obstétrique : 16 + 4 postes orthogénie / SSR (soins de suite et de réadaptation) : 32 + 4 places à temps partiel / USLD (unité de soins longue durée) : 30 / HAD (hospitalisation à domicile): 15 / Hébergement : 116 (EHPAD)",267300135.0,Activités hospitalières,,Saint-Jean-de-Maurienne Cedex,819.44,41.64,533.31,16.65,0.0,91.87,,,,,,,,,,,,,,,,,
3620,Collectivité territoriale (dont EPCI),Communauté de Commune,Communauté des communes de Lacq Orthez,1/1/2018,5/27/2019,,,,,Nouvelle-Aquitaine,,204.0,766.0,0.0,32.0,0.0,389.00,0.00,379.00,0.00,0.00,0.00,0.00,126.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,0.0,0.0,219.0
3621,Entreprise,,CPAM Haute-Savoie,1/1/2018,10/29/2019,Opérationnel,"La CPAM exerce une mission de service public, en assurant les relations de proximité avec les publics de l'Assurance Maladie. Elle participe aux activités de gestion (collecte des cotisations, versement des prestations) de la couverture des risques maladie, maternité, accident du travail, maladie professionnelle, invalidité dans le département._x000D_
",776531568.0,Activités générales de sécurité sociale,,Annecy,218.89,30.3,,4.27,,106.78,63.84,41.64,184.13,732.54,5.95,,23.68,,,,,,,,,272.82,263.84
3622,Entreprise,,LUSTRAL,1/1/2018,5/27/2019,Financier,Entreprise de nettoyage industriel,309674414.0,Nettoyage courant des bâtiments,,REIMS,,344.49,,9.02,,19.72,0.00,,,,,,,,,,,,,,,,
3624,Entreprise,,Préfecture de Tarn-et-Garonne,1/1/2019,6/4/2019,Opérationnel,Préfecture et sous-préfecture de Tarn-et-Garonne : BEGES 2018,178200010.0,Administration publique générale,,MONTAUBAN,103.16,21.8,0.0,0.0,0.0,30.60,,34.20,,4.20,,,,,,,,,,,,,
3627,Entreprise,,LABORATOIRE GLAXOSMITHKLINE,1/1/2017,5/28/2019,Opérationnel,,642041362.0,Commerce de gros (commerce interentreprises) de produits pharmaceutiques,,RUEIL MALMAISON,162.4,0.0,0.0,0.0,0.0,oui,,,oui,oui,oui,,oui,,,oui,,,,,,388.2,0.0
3628,Entreprise,,NAVAL GROUP,1/1/2018,5/29/2019,Opérationnel,,441133808.0,Construction de navires et de structures flottantes,,Lorient,16546.0,1261.1,,619.0,,4917.00,111.00,,,,,13563.00,27415.00,,,,,,,,,24402.0,
3629,Entreprise,,LACROIX EMBALLAGES,1/1/2017,6/21/2019,Opérationnel,,646650234.0,Fabrication d'emballages en bois,,BOIS D,272.0,195.0,,268.0,,oui,,oui,oui,oui,oui,oui,oui,,,,,,oui,,,622.0,
3631,Entreprise,,Bertrandt SAS,1/1/2018,6/7/2019,Opérationnel,"Bertrandt France existe depuis plus de 20 ans. Pendant ce temps, ses équipes ont gagné la confiance de leurs clients et ont acquis une forte position sur le marché. Bertrandt France propose une gamme complète de services couvrant un large éventail de domaines, tels que l'architecture complète des véhicules, les carrosseries en blanc, les intérieurs et les extérieurs, les châssis, les groupes motopropulseurs et, depuis 2007, le développement et la conception de l'électronique. ",422868851.0,"Ingénierie, études techniques",,Vélizy-Villacoublay,0.0,241.69,0.0,21.87,0.0,13.91,0.00,69.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0
3632,Entreprise,,Club Med SAS,1/1/2018,7/5/2019,Opérationnel,"Fondé en 1950, le Club Med est l'inventeur du concept de club de  vacances tout compris et de l'encadrement des enfants.  Le Club Med est aujourd'hui le leader mondial des vacances tout compris haut de gamme, au savoir-faire français, à destination des familles et des couples & amis. ",572185684.0,Hébergement touristique et autre hébergement de courte durée,,paris,1314.0,302.0,0.0,306.0,0.0,1857.00,428.00,358.00,,,,,,,,,,,,,,,
3634,Entreprise,,Supermarché Match,1/1/2018,6/4/2019,Opérationnel,Grande distribution alimentaire,785480351.0,Supermarchés,,La Madeleine,7889.0,420.0,,37228.0,,3302.00,0.00,,,,,,,,,,,,,,,,
3636,Entreprise,,SUEZ Recyclage & Valorisation France,1/1/2018,12/18/2019,Opérationnel,"Collecte des déchets municipaux et industriels, stockage de déchets en installations de stockage de déchets non-dangereux, tri mécanique de la collecte sélective et tri des déchets industriels",504726787.0,Traitement et élimination des déchets non dangereux,,SCHILTIGHEIM,2147.28,165880.03,0.0,759742.71,,8203.09,,,,,,,,,,,,,,,,,
